seqnames	start	end	width	strand	score	nTSSs	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
V	453396	453429	34	+	71	8	Promoter	5	453459	454919	1461	1	YER141W	YER141W_mRNA	-30
V	456249	456297	49	+	40	5	Promoter	5	456319	457605	1287	1	YER143W	YER143W_mRNA	-22
V	462530	462578	49	+	83	10	Promoter	5	462585	462866	282	1	YER146W	YER146W_mRNA	-7
V	462633	462633	1	+	5	1	Promoter	5	462585	462866	282	1	YER146W	YER146W_mRNA	48
V	465092	465118	27	+	181	11	Promoter	5	465303	466025	723	1	YER148W	YER148W_mRNA	-185
V	468335	468354	20	+	133	3	Promoter	5	468370	468816	447	1	YER150W	YER150W_mRNA	-16
V	475954	475954	1	+	4	1	Exon (YER154W_mRNA/YER154W, exon 1 of 1)	5	475020	476228	1209	1	YER154W	YER154W_mRNA	934
V	503996	504005	10	+	20	2	Distal Intergenic	5	505392	509798	4407	1	YER164W	YER164W_mRNA	-1387
V	504068	504068	1	+	5	1	Distal Intergenic	5	505392	509798	4407	1	YER164W	YER164W_mRNA	-1324
V	505062	505120	59	+	139	10	Promoter	5	505392	509798	4407	1	YER164W	YER164W_mRNA	-272
V	505275	505275	1	+	5	1	Promoter	5	505392	509798	4407	1	YER164W	YER164W_mRNA	-117
V	510203	510238	36	+	155	6	Promoter	5	510373	512106	1734	1	YER165W	YER165W_mRNA	-135
V	510729	510729	1	+	5	1	Exon (YER165W_mRNA/YER165W, exon 1 of 1)	5	510373	512106	1734	1	YER165W	YER165W_mRNA	356
V	512432	512509	78	+	100	9	Promoter	5	512744	517459	4716	1	YER166W	YER166W_mRNA	-235
V	517823	517823	1	+	4	1	Promoter	5	518216	520771	2556	1	YER167W	YER167W_mRNA	-393
V	517926	517926	1	+	19	1	Promoter	5	518216	520771	2556	1	YER167W	YER167W_mRNA	-290
V	523088	523111	24	+	10	2	Promoter	5	523369	525759	2391	1	YER169W	YER169W_mRNA	-258
V	523155	523155	1	+	4	1	Promoter	5	523369	525759	2391	1	YER169W	YER169W_mRNA	-214
V	525951	525951	1	+	8	1	Promoter	5	525974	526651	678	1	YER170W	YER170W_mRNA	-23
V	526959	526982	24	+	30	5	Promoter	5	527082	529418	2337	1	YER171W	YER171W_mRNA	-100
V	540586	540586	1	+	6	1	Promoter	5	540650	540814	165	1	YER175W-A	YER175W-A_mRNA	-64
V	540724	540724	1	+	4	1	Promoter	5	540650	540814	165	1	YER175W-A	YER175W-A_mRNA	74
V	541638	541670	33	+	83	6	Promoter	5	541690	545055	3366	1	YER176W	YER176W_mRNA	-20
V	545486	545511	26	+	36	6	Promoter	5	545611	546414	804	1	YER177W	YER177W_mRNA	-100
V	545556	545601	46	+	303	12	Promoter	5	545611	546414	804	1	YER177W	YER177W_mRNA	-10
V	546223	546223	1	+	5	1	Promoter	5	546817	548079	1263	1	YER178W	YER178W_mRNA	-594
V	546281	546281	1	+	4	1	Promoter	5	546817	548079	1263	1	YER178W	YER178W_mRNA	-536
V	546780	546792	13	+	48	3	Promoter	5	546817	548079	1263	1	YER178W	YER178W_mRNA	-25
V	552490	552516	27	+	21	3	Promoter	5	552525	553259	735	1	YER182W	YER182W_mRNA	-9
V	554136	554137	2	+	9	2	Distal Intergenic	5	552525	553259	735	1	YER182W	YER182W_mRNA	1611
V	575753	575753	1	+	4	1	Exon (YER190W_mRNA/YER190W, exon 1 of 1)	5	571480	576525	5046	1	YER190W	YER190W_mRNA	4273
V	25989	25989	1	-	6	1	Promoter	5	25646	25978	333	2	YEL068C	YEL068C_mRNA	-11
V	26510	26510	1	-	4	1	Exon (YEL067C_mRNA/YEL067C, exon 1 of 1)	5	26189	26776	588	2	YEL067C	YEL067C_mRNA	266
V	33660	33722	63	-	127	10	Promoter	5	31694	33466	1773	2	YEL063C	YEL063C_mRNA	-256
V	39627	39660	34	-	19	3	Promoter	5	36535	39537	3003	2	YEL061C	YEL061C_mRNA	-123
V	41961	42016	56	-	209	10	Promoter	5	40046	41953	1908	2	YEL060C	YEL060C_mRNA	-63
V	42118	42118	1	-	6	1	Promoter	5	40046	41953	1908	2	YEL060C	YEL060C_mRNA	-165
V	42701	42701	1	-	9	1	Promoter	5	42400	42624	225	2	YEL059C-A	YEL059C-A_mRNA	-77
V	51552	51560	9	-	10	2	Promoter	5	48471	51539	3069	2	YEL055C	YEL055C_mRNA	-21
V	51594	51634	41	-	70	6	Promoter	5	48471	51539	3069	2	YEL055C	YEL055C_mRNA	-95
V	53226	53260	35	-	142	7	Promoter	5	52721	53218	498	2	YEL054C	YEL054C_mRNA	-42
V	56148	56170	23	-	24	2	Promoter	5	53901	56102	2202	2	YEL053C	YEL053C_mRNA	-68
V	60880	60915	36	-	45	5	Promoter	5	59670	60851	1182	2	YEL050C	YEL050C_mRNA	-64
V	66811	66811	1	-	4	1	Promoter	5	65385	66797	1413	2	YEL047C	YEL047C_mRNA	-14
V	68888	68900	13	-	36	4	Promoter	5	67629	68792	1164	2	YEL046C	YEL046C_mRNA	-108
V	80045	80072	28	-	56	6	Promoter	5	79636	79977	342	2	YEL039C	YEL039C_mRNA	-95
V	80108	80108	1	-	5	1	Promoter	5	79636	79977	342	2	YEL039C	YEL039C_mRNA	-131
V	80151	80176	26	-	15	3	Promoter	5	79636	79977	342	2	YEL039C	YEL039C_mRNA	-199
V	82715	82727	13	-	35	3	Promoter	5	81407	82603	1197	2	YEL037C	YEL037C_mRNA	-124
V	82762	82791	30	-	56	6	Promoter	5	81407	82603	1197	2	YEL037C	YEL037C_mRNA	-188
V	83790	83792	3	-	13	3	Exon (YEL036C_mRNA/YEL036C, exon 1 of 1)	5	83050	84552	1503	2	YEL036C	YEL036C_mRNA	762
V	84697	84697	1	-	9	1	Promoter	5	83050	84552	1503	2	YEL036C	YEL036C_mRNA	-145
V	97861	97861	1	-	9	1	Promoter	5	96858	97796	939	2	YEL029C	YEL029C_mRNA	-65
V	118035	118035	1	-	24	1	Promoter	5	117667	118035	369	2	RPR1	RPR1_ncRNA	0
V	118119	118119	1	-	8	1	Promoter	5	117667	118035	369	2	RPR1	RPR1_ncRNA	-84
V	121311	121311	1	-	8	1	Promoter	5	120498	121301	804	2	YEL019C	YEL019C_mRNA	-10
V	122937	122977	41	-	74	9	Promoter	5	122798	122929	132	2	YEL017C-A	YEL017C-A_mRNA	-48
V	126401	126421	21	-	12	2	Promoter	5	124737	126218	1482	2	YEL016C	YEL016C_mRNA	-203
V	136985	136989	5	-	17	2	Promoter	5	136371	136778	408	2	YEL009C-A	YEL009C-A_mRNA	-211
V	140324	140374	51	-	201	15	Downstream (1-2kb)	5	140726	140818	93	2	YEL008C-A	YEL008C-A_mRNA	494
V	150052	150073	22	-	62	4	Promoter	5	148722	150014	1293	2	YEL002C	YEL002C_mRNA	-59
V	150934	151034	101	-	61	9	Promoter	5	150301	150978	678	2	YEL001C	YEL001C_mRNA	0
V	159138	159162	25	-	68	5	Promoter	5	157736	159118	1383	2	YER003C	YER003C_mRNA	-44
V	162446	162446	1	-	4	1	Distal Intergenic	5	164344	164661	318	2	YER006C-A	YER006C-A_mRNA	2215
V	166894	166916	23	-	27	3	Promoter	5	166237	166885	649	2	YER007C-A	YER007C-A_mRNA	-31
V	167586	167586	1	-	17	1	Promoter	5	167427	167586	160	2	snR14	snR14_snRNA	0
V	171875	171875	1	-	5	1	Promoter	5	167808	171818	4011	2	YER008C	YER008C_mRNA	-57
V	188079	188083	5	-	12	2	Distal Intergenic	5	183731	184700	970	2	YER014C-A	YER014C-A_mRNA	-3383
V	191841	191841	1	-	7	1	Promoter	5	189503	191788	2286	2	YER017C	YER017C_mRNA	-53
V	191869	191869	1	-	4	1	Promoter	5	189503	191788	2286	2	YER017C	YER017C_mRNA	-81
V	191910	191910	1	-	6	1	Promoter	5	189503	191788	2286	2	YER017C	YER017C_mRNA	-122
V	194590	194626	37	-	51	8	Promoter	5	194273	194539	267	2	YER019C-A	YER019C-A_mRNA	-87
V	194807	194807	1	-	7	1	Promoter	5	194273	194539	267	2	YER019C-A	YER019C-A_mRNA	-268
V	208257	208257	1	-	5	1	Exon (YER026C_mRNA/YER026C, exon 1 of 1)	5	207644	208474	831	2	YER026C	YER026C_mRNA	217
V	208344	208344	1	-	10	1	Exon (YER026C_mRNA/YER026C, exon 1 of 1)	5	207644	208474	831	2	YER026C	YER026C_mRNA	130
V	208427	208429	3	-	10	2	Promoter	5	207644	208474	831	2	YER026C	YER026C_mRNA	47
V	208459	208570	112	-	287	26	Promoter	5	207644	208474	831	2	YER026C	YER026C_mRNA	0
V	210060	210060	1	-	5	1	Exon (YER027C_mRNA/YER027C, exon 1 of 1)	5	208979	210232	1254	2	YER027C	YER027C_mRNA	172
V	210226	210261	36	-	24	3	Promoter	5	208979	210232	1254	2	YER027C	YER027C_mRNA	0
V	210288	210379	92	-	130	14	Promoter	5	208979	210232	1254	2	YER027C	YER027C_mRNA	-147
V	211905	211909	5	-	16	2	Promoter	5	210692	211876	1185	2	YER028C	YER028C_mRNA	-33
V	211944	211988	45	-	45	6	Promoter	5	210692	211876	1185	2	YER028C	YER028C_mRNA	-112
V	213222	213252	31	-	106	7	Promoter	5	212587	213177	591	2	YER029C	YER029C_mRNA	-75
V	214770	214770	1	-	6	1	Promoter	5	214076	214747	672	2	YER031C	YER031C_mRNA	-23
V	221489	221512	24	-	11	2	Promoter	5	218057	221287	3231	2	YER033C	YER033C_mRNA	-225
V	225224	225232	9	-	98	3	Promoter	5	223367	225199	1833	2	YER036C	YER036C_mRNA	-33
V	228232	228232	1	-	4	1	Promoter	5	226858	228252	1395	2	YER038C	YER038C_mRNA	20
V	228259	228262	4	-	15	2	Promoter	5	226858	228252	1395	2	YER038C	YER038C_mRNA	-10
V	237143	237153	11	-	62	4	Promoter	5	235770	237119	1350	2	YER043C	YER043C_mRNA	-34
V	237197	237203	7	-	12	2	Promoter	5	235770	237119	1350	2	YER043C	YER043C_mRNA	-84
V	238055	238070	16	-	8	2	Promoter	5	237570	238016	447	2	YER044C	YER044C_mRNA	-54
V	246659	246702	44	-	68	6	Promoter	5	243810	246503	2694	2	YER047C	YER047C_mRNA	-199
V	248157	248290	134	-	130	16	Promoter	5	246982	248157	1176	2	YER048C	YER048C_mRNA	0
V	254434	254446	13	-	57	3	Promoter	5	253971	254387	417	2	YER050C	YER050C_mRNA	-59
V	258053	258053	1	-	7	1	Promoter	5	256375	257958	1584	2	YER052C	YER052C_mRNA	-95
V	259678	259678	1	-	7	1	Promoter	5	258737	259639	903	2	YER053C	YER053C_mRNA	-39
V	259723	259737	15	-	45	3	Promoter	5	258737	259639	903	2	YER053C	YER053C_mRNA	-98
V	259806	259806	1	-	5	1	Promoter	5	258737	259639	903	2	YER053C	YER053C_mRNA	-167
V	261096	261098	3	-	13	2	Promoter	5	260933	261046	114	2	YER053C-A	YER053C-A_mRNA	-52
V	263756	263756	1	-	5	1	Promoter	5	262052	263698	1647	2	YER054C	YER054C_mRNA	-58
V	263998	263998	1	-	6	1	Promoter	5	262052	263698	1647	2	YER054C	YER054C_mRNA	-300
V	264041	264168	128	-	112	11	Promoter	5	262052	263698	1647	2	YER054C	YER054C_mRNA	-470
V	265602	265602	1	-	4	1	Exon (YER055C_mRNA/YER055C, exon 1 of 1)	5	264892	265785	894	2	YER055C	YER055C_mRNA	183
V	265810	265847	38	-	66	8	Promoter	5	264892	265785	894	2	YER055C	YER055C_mRNA	-62
V	265878	265918	41	-	42	6	Promoter	5	264892	265785	894	2	YER055C	YER055C_mRNA	-133
V	268182	268204	23	-	77	3	Promoter	5	266512	268113	1602	2	YER056C	YER056C_mRNA	-91
V	270183	270223	41	-	280	14	Promoter	5	269423	270185	763	2	YER056C-A	YER056C-A_mRNA	0
V	271140	271206	67	-	102	12	Promoter	5	270737	271126	390	2	YER057C	YER057C_mRNA	-80
V	272139	272139	1	-	5	1	Downstream (1-2kb)	5	270737	271126	390	2	YER057C	YER057C_mRNA	-1013
V	279608	279624	17	-	8	2	Promoter	5	278298	279626	1329	2	YER061C	YER061C_mRNA	18
V	279657	279659	3	-	12	2	Promoter	5	278298	279626	1329	2	YER061C	YER061C_mRNA	-33
V	280748	280748	1	-	9	1	Promoter	5	279930	280682	753	2	YER062C	YER062C_mRNA	-66
V	280823	280839	17	-	17	3	Promoter	5	279930	280682	753	2	YER062C	YER062C_mRNA	-157
V	284261	284292	32	-	22	4	Promoter	5	282705	284222	1518	2	YER064C	YER064C_mRNA	-70
V	286935	286968	34	-	28	3	Promoter	5	285241	286914	1674	2	YER065C	YER065C_mRNA	-54
V	287182	287182	1	-	7	1	Promoter	5	285241	286914	1674	2	YER065C	YER065C_mRNA	-268
V	302325	302349	25	-	12	2	Promoter	5	301947	302327	381	2	YER071C	YER071C_mRNA	0
V	303213	303213	1	-	4	1	Promoter	5	301947	302327	381	2	YER071C	YER071C_mRNA	-886
V	311343	311355	13	-	8	2	Promoter	5	308413	311199	2787	2	YER075C	YER075C_mRNA	-156
V	316513	316571	59	-	34	5	Promoter	5	314534	316600	2067	2	YER077C	YER077C_mRNA	87
V	325957	326029	73	-	57	7	Promoter	5	324272	325936	1665	2	YER082C	YER082C_mRNA	-93
V	327044	327076	33	-	48	7	Promoter	5	327065	327451	387	1	YER084W	YER084W_mRNA	0
V	332857	332877	21	-	48	4	Promoter	5	332582	332830	249	2	YER087C-B	YER087C-B_mRNA	-47
V	334784	334784	1	-	4	1	Exon (YER088C_mRNA/YER088C, exon 1 of 1)	5	333176	335188	2013	2	YER088C	YER088C_mRNA	404
V	335224	335246	23	-	18	4	Promoter	5	333176	335188	2013	2	YER088C	YER088C_mRNA	-58
V	335277	335277	1	-	5	1	Promoter	5	333176	335188	2013	2	YER088C	YER088C_mRNA	-89
V	336108	336108	1	-	7	1	Promoter	5	335696	336019	324	2	YER088C-A	YER088C-A_mRNA	-89
V	336152	336152	1	-	4	1	Promoter	5	335696	336019	324	2	YER088C-A	YER088C-A_mRNA	-133
V	336513	336513	1	-	5	1	Promoter	5	335696	336019	324	2	YER088C-A	YER088C-A_mRNA	-494
V	337633	337662	30	-	20	3	Promoter	5	335946	337340	1395	2	YER089C	YER089C_mRNA	-322
V	342233	342237	5	-	49	2	Promoter	5	339864	342167	2304	2	YER091C	YER091C_mRNA	-70
V	347668	347694	27	-	21	3	Promoter	5	343320	347612	4293	2	YER093C	YER093C_mRNA	-82
V	348400	348413	14	-	10	2	Promoter	5	347912	348400	489	2	YER093C-A	YER093C-A_mRNA	0
V	349032	349032	1	-	4	1	Exon (YER094C_mRNA/YER094C, exon 1 of 1)	5	348729	349346	618	2	YER094C	YER094C_mRNA	314
V	349421	349447	27	-	33	5	Promoter	5	348729	349346	618	2	YER094C	YER094C_mRNA	-101
V	359080	359080	1	-	8	1	Promoter	5	358105	359061	957	2	YER099C	YER099C_mRNA	-19
V	359331	359331	1	-	4	1	Promoter	5	358105	359061	957	2	YER099C	YER099C_mRNA	-270
V	361836	361836	1	-	5	1	Promoter	5	360502	361794	1293	2	YER101C	YER101C_mRNA	-42
V	372032	372059	28	-	23	3	Promoter	5	367838	372013	4176	2	YER105C	YER105C_mRNA	-46
V	374721	374721	1	-	25	1	Promoter	5	373448	374545	1098	2	YER107C	YER107C_mRNA	-176
V	377782	377805	24	-	33	3	Distal Intergenic	5	373448	374545	1098	2	YER107C	YER107C_mRNA	-3260
V	379365	379365	1	-	4	1	Exon (YER110C_mRNA/YER110C, exon 1 of 1)	5	378762	382103	3342	2	YER110C	YER110C_mRNA	2738
V	379434	379434	1	-	5	1	Exon (YER110C_mRNA/YER110C, exon 1 of 1)	5	378762	382103	3342	2	YER110C	YER110C_mRNA	2669
V	382215	382232	18	-	27	3	Promoter	5	378762	382103	3342	2	YER110C	YER110C_mRNA	-129
V	390185	390185	1	-	4	1	Promoter	5	387932	390052	2121	2	YER113C	YER113C_mRNA	-133
V	394033	394045	13	-	26	2	Promoter	5	390590	393712	3123	2	YER114C	YER114C_mRNA	-333
V	395110	395110	1	-	4	1	Promoter	5	394292	394867	576	2	YER115C	YER115C_mRNA	-243
V	396209	396222	14	-	12	2	Promoter	5	395348	396172	825	2	YER116C	YER116C_mRNA	-50
V	396272	396283	12	-	26	2	Promoter	5	395348	396172	825	2	YER116C	YER116C_mRNA	-111
V	398186	398186	1	-	4	1	Exon (YER118C_mRNA/YER118C, exon 1 of 1)	5	397952	399055	1104	2	YER118C	YER118C_mRNA	869
V	398308	398308	1	-	4	1	Exon (YER118C_mRNA/YER118C, exon 1 of 1)	5	397952	399055	1104	2	YER118C	YER118C_mRNA	747
V	400868	400868	1	-	4	1	Promoter	5	399496	400842	1347	2	YER119C	YER119C_mRNA	-26
V	402303	402303	1	-	4	1	Downstream (1-2kb)	5	400867	401238	372	2	YER119C-A	YER119C-A_mRNA	-1065
V	403415	403415	1	-	4	1	Exon (YER122C_mRNA/YER122C, exon 1 of 1)	5	402871	404352	1482	2	YER122C	YER122C_mRNA	937
V	403521	403521	1	-	5	1	Exon (YER122C_mRNA/YER122C, exon 1 of 1)	5	402871	404352	1482	2	YER122C	YER122C_mRNA	831
V	403866	403866	1	-	4	1	Exon (YER122C_mRNA/YER122C, exon 1 of 1)	5	402871	404352	1482	2	YER122C	YER122C_mRNA	486
V	404361	404379	19	-	18	2	Promoter	5	402871	404352	1482	2	YER122C	YER122C_mRNA	-27
V	404433	404433	1	-	8	1	Promoter	5	402871	404352	1482	2	YER122C	YER122C_mRNA	-81
V	409079	409103	25	-	112	8	Promoter	5	407342	409063	1722	2	YER124C	YER124C_mRNA	-40
V	409140	409140	1	-	8	1	Promoter	5	407342	409063	1722	2	YER124C	YER124C_mRNA	-77
V	414188	414281	94	-	245	18	Promoter	5	413394	414179	786	2	YER126C	YER126C_mRNA	-102
V	422486	422486	1	-	11	1	Promoter	5	421115	422446	1332	2	YER130C	YER130C_mRNA	-40
V	422513	422542	30	-	35	4	Promoter	5	421115	422446	1332	2	YER130C	YER130C_mRNA	-96
V	430891	430891	1	-	4	1	Distal Intergenic	5	431129	431220	92	2	snR52	snR52_snoRNA	329
V	435500	435536	37	-	30	5	Downstream (<1kb)	5	435752	435824	73	2	tK(CUU)E2	tK(CUU)E2_tRNA	324
V	435608	435622	15	-	30	3	Downstream (1-2kb)	5	435752	435824	73	2	tK(CUU)E2	tK(CUU)E2_tRNA	216
V	437779	437779	1	-	4	1	Promoter	5	437267	437803	537	2	YER134C	YER134C_mRNA	24
V	437812	437858	47	-	30	5	Promoter	5	437267	437803	537	2	YER134C	YER134C_mRNA	-55
V	441839	441864	26	-	25	3	Promoter	5	441373	441819	447	2	YER137C	YER137C_mRNA	-45
V	451343	451343	1	-	6	1	Promoter	5	450563	451243	681	2	YER139C	YER139C_mRNA	-100
V	456060	456110	51	-	19	4	Promoter	5	455146	456036	891	2	YER142C	YER142C_mRNA	-74
V	460221	460244	24	-	55	5	Promoter	5	457806	460223	2418	2	YER144C	YER144C_mRNA	0
V	460802	460825	24	-	11	2	Promoter	5	457806	460223	2418	2	YER144C	YER144C_mRNA	-602
V	460884	460938	55	-	44	8	Promoter	5	457806	460223	2418	2	YER144C	YER144C_mRNA	-715
V	460966	461097	132	-	84	13	Exon (YER145C_mRNA/YER145C, exon 1 of 1)	5	460526	461740	1215	2	YER145C	YER145C_mRNA	774
V	461155	461155	1	-	7	1	Exon (YER145C_mRNA/YER145C, exon 1 of 1)	5	460526	461740	1215	2	YER145C	YER145C_mRNA	585
V	461261	461273	13	-	9	2	Exon (YER145C_mRNA/YER145C, exon 1 of 1)	5	460526	461740	1215	2	YER145C	YER145C_mRNA	479
V	461395	461402	8	-	12	2	Exon (YER145C_mRNA/YER145C, exon 1 of 1)	5	460526	461740	1215	2	YER145C	YER145C_mRNA	345
V	461453	461453	1	-	4	1	Exon (YER145C_mRNA/YER145C, exon 1 of 1)	5	460526	461740	1215	2	YER145C	YER145C_mRNA	287
V	461619	461619	1	-	4	1	Exon (YER145C_mRNA/YER145C, exon 1 of 1)	5	460526	461740	1215	2	YER145C	YER145C_mRNA	121
V	461758	461766	9	-	45	3	Promoter	5	460526	461740	1215	2	YER145C	YER145C_mRNA	-26
V	467521	467547	27	-	20	2	Promoter	5	466208	467470	1263	2	YER149C	YER149C_mRNA	-77
V	472482	472482	1	-	9	1	Promoter	5	469686	472424	2739	2	YER151C	YER151C_mRNA	-58
V	472511	472533	23	-	25	4	Promoter	5	469686	472424	2739	2	YER151C	YER151C_mRNA	-109
V	474004	474004	1	-	6	1	Promoter	5	472657	473988	1332	2	YER152C	YER152C_mRNA	-16
V	475228	475228	1	-	5	1	Promoter	5	474041	474805	765	2	YER153C	YER153C_mRNA	-423
V	482777	482777	1	-	4	1	Promoter	5	476345	482848	6504	2	YER155C	YER155C_mRNA	71
V	482857	482908	52	-	52	6	Promoter	5	476345	482848	6504	2	YER155C	YER155C_mRNA	-60
V	483095	483114	20	-	18	4	Promoter	5	476345	482848	6504	2	YER155C	YER155C_mRNA	-266
V	484357	484366	10	-	13	2	Promoter	5	483325	484341	1017	2	YER156C	YER156C_mRNA	-25
V	490759	490759	1	-	5	1	Promoter	5	488857	490578	1722	2	YER158C	YER158C_mRNA	-181
V	492025	492037	13	-	11	2	Promoter	5	491530	491958	429	2	YER159C	YER159C_mRNA	-79
V	492084	492174	91	-	337	16	Promoter	5	491530	491958	429	2	YER159C	YER159C_mRNA	-216
V	500378	500398	21	-	119	6	Promoter	5	499347	500348	1002	2	YER161C	YER161C_mRNA	-50
V	502929	502937	9	-	24	3	Promoter	5	500630	502894	2265	2	YER162C	YER162C_mRNA	-43
V	503776	503792	17	-	27	4	Promoter	5	503084	503782	699	2	YER163C	YER163C_mRNA	0
V	503821	503821	1	-	5	1	Promoter	5	503084	503782	699	2	YER163C	YER163C_mRNA	-39
V	510227	510227	1	-	7	1	Distal Intergenic	5	512627	512983	357	2	YER165C-A	YER165C-A_mRNA	2756
V	535328	535328	1	-	4	1	Exon (YER172C_mRNA/YER172C, exon 1 of 1)	5	529530	536021	6492	2	YER172C	YER172C_mRNA	693
V	535491	535491	1	-	4	1	Exon (YER172C_mRNA/YER172C, exon 1 of 1)	5	529530	536021	6492	2	YER172C	YER172C_mRNA	530
V	536068	536092	25	-	44	4	Promoter	5	529530	536021	6492	2	YER172C	YER172C_mRNA	-71
V	539282	539282	1	-	5	1	Promoter	5	538434	539168	735	2	YER174C	YER174C_mRNA	-114
V	540382	540382	1	-	16	1	Promoter	5	539464	540363	900	2	YER175C	YER175C_mRNA	-19
V	541443	541443	1	-	4	1	Downstream (1-2kb)	5	539464	540363	900	2	YER175C	YER175C_mRNA	-1080
V	551161	551170	10	-	10	2	Promoter	5	550865	551122	258	2	YER180C-A	YER180C-A_mRNA	-48
V	553967	553980	14	-	18	3	Promoter	5	553334	553969	636	2	YER183C	YER183C_mRNA	0
V	562796	562818	23	-	20	4	Promoter	5	561705	562625	921	2	YER186C	YER186C_mRNA	-193
V	567592	567592	1	-	4	1	Distal Intergenic	5	569608	569907	300	2	YER188C-A	YER188C-A_mRNA	2315
VI	11197	11197	1	+	4	1	Promoter	6	11363	12259	897	1	YFL059W	YFL059W_mRNA	-166
VI	11401	11406	6	+	8	2	Promoter	6	11363	12259	897	1	YFL059W	YFL059W_mRNA	38
VI	23091	23091	1	+	4	1	Promoter	6	23423	25198	1776	1	YFL053W	YFL053W_mRNA	-332
VI	28207	28223	17	+	22	2	Promoter	6	28232	29629	1398	1	YFL052W	YFL052W_mRNA	-9
VI	36772	36772	1	+	7	1	Promoter	6	36803	38674	1872	1	YFL049W	YFL049W_mRNA	-31
VI	36799	36809	11	+	9	2	Promoter	6	36803	38674	1872	1	YFL049W	YFL049W_mRNA	0
VI	40403	40421	19	+	87	7	Promoter	6	40421	42565	2145	1	YFL047W	YFL047W_mRNA	0
VI	42745	42745	1	+	4	1	Promoter	6	42815	43438	624	1	YFL046W	YFL046W_mRNA	-70
VI	42779	42807	29	+	70	5	Promoter	6	42815	43438	624	1	YFL046W	YFL046W_mRNA	-8
VI	49097	49131	35	+	93	10	Promoter	6	49139	51007	1869	1	YFL041W	YFL041W_mRNA	-8
VI	56260	56271	12	+	38	3	Promoter	6	56336	57709	1374	1	YFL037W	YFL037W_mRNA	-65
VI	58534	58591	58	+	77	10	Promoter	6	58782	62837	4056	1	YFL036W	YFL036W_mRNA	-191
VI	65286	65312	27	+	83	8	Promoter	6	65477	68698	3222	1	YFL034W	YFL034W_mRNA	-165
VI	75113	75121	9	+	60	2	Promoter	6	75179	76147	969	1	YFL031W	YFL031W_mRNA	-58
VI	75169	75169	1	+	4	1	Promoter	6	75179	76147	969	1	YFL031W	YFL031W_mRNA	-10
VI	75416	75416	1	+	4	1	Exon (YFL031W_mRNA/YFL031W, exon 1 of 2)	6	75179	76147	969	1	YFL031W	YFL031W_mRNA	237
VI	75464	75464	1	+	6	1	Exon (YFL031W_mRNA/YFL031W, exon 1 of 2)	6	75179	76147	969	1	YFL031W	YFL031W_mRNA	285
VI	82538	82563	26	+	61	4	Promoter	6	82580	83875	1296	1	YFL026W	YFL026W_mRNA	-17
VI	89581	89594	14	+	18	4	Distal Intergenic	6	90986	93376	2391	1	YFL023W	YFL023W_mRNA	-1392
VI	90962	90982	21	+	64	7	Promoter	6	90986	93376	2391	1	YFL023W	YFL023W_mRNA	-4
VI	96085	96091	7	+	18	2	Exon (YFL021W_mRNA/YFL021W, exon 1 of 1)	6	95966	97498	1533	1	YFL021W	YFL021W_mRNA	119
VI	96416	96416	1	+	5	1	Exon (YFL021W_mRNA/YFL021W, exon 1 of 1)	6	95966	97498	1533	1	YFL021W	YFL021W_mRNA	450
VI	107197	107197	1	+	33	1	Promoter	6	107256	107585	330	1	YFL014W	YFL014W_mRNA	-59
VI	107226	107226	1	+	4	1	Promoter	6	107256	107585	330	1	YFL014W	YFL014W_mRNA	-30
VI	115956	115956	1	+	5	1	Promoter	6	116145	118484	2340	1	YFL009W	YFL009W_mRNA	-189
VI	119375	119388	14	+	13	3	Promoter	6	119429	123106	3678	1	YFL008W	YFL008W_mRNA	-41
VI	120394	120394	1	+	4	1	Exon (YFL008W_mRNA/YFL008W, exon 1 of 1)	6	119429	123106	3678	1	YFL008W	YFL008W_mRNA	965
VI	123337	123380	44	+	31	3	Promoter	6	123479	129910	6432	1	YFL007W	YFL007W_mRNA	-99
VI	130147	130174	28	+	25	4	Promoter	6	130334	130981	648	1	YFL005W	YFL005W_mRNA	-160
VI	130316	130316	1	+	4	1	Promoter	6	130334	130981	648	1	YFL005W	YFL005W_mRNA	-18
VI	131652	131667	16	+	35	3	Promoter	6	131810	134296	2487	1	YFL004W	YFL004W_mRNA	-143
VI	131706	131819	114	+	182	16	Promoter	6	131810	134296	2487	1	YFL004W	YFL004W_mRNA	0
VI	138153	138153	1	+	21	1	Promoter	6	138204	143517	5314	1	YFL002W-A	YFL002W-A	-51
VI	147133	147133	1	+	4	1	Promoter	6	147131	148459	1329	1	YFL001W	YFL001W_mRNA	2
VI	148994	148994	1	+	6	1	Promoter	6	149110	149724	615	1	YFR001W	YFR001W_mRNA	-116
VI	149029	149115	87	+	264	19	Promoter	6	149110	149724	615	1	YFR001W	YFR001W_mRNA	0
VI	149407	149407	1	+	4	1	Exon (YFR001W_mRNA/YFR001W, exon 1 of 1)	6	149110	149724	615	1	YFR001W	YFR001W_mRNA	297
VI	149986	150001	16	+	19	2	Promoter	6	150016	152535	2520	1	YFR002W	YFR002W_mRNA	-15
VI	153344	153385	42	+	57	8	Promoter	6	153393	154313	921	1	YFR004W	YFR004W_mRNA	-8
VI	156095	156128	34	+	48	6	Promoter	6	156145	157752	1608	1	YFR006W	YFR006W_mRNA	-17
